"";"*adpf_1003";"*adpf_1016";"*adpf_1021";"*adpf_1035";"*adpf_1041";"*adpf_1045";"*adpf_1048";"*adpf_1061";"*adpf_1065";"*adpf_1067";"*adpf_1072";"*adpf_1074";"*adpf_1093";"*adpf_1112";"*adpf_1124";"*adpf_1127";"*adpf_1129";"*adpf_1131";"*adpf_1134";"*adpf_1140";"*adpf_1177";"*adpf_1195";"*adpf_340";"*adpf_343";"*adpf_344";"*adpf_350";"*adpf_355";"*adpf_360";"*adpf_365";"*adpf_375";"*adpf_382";"*adpf_383";"*adpf_390";"*adpf_397";"*adpf_407";"*adpf_409";"*adpf_410";"*adpf_412";"*adpf_417";"*adpf_426";"*adpf_436";"*adpf_450";"*adpf_456";"*adpf_458";"*adpf_470";"*adpf_500";"*adpf_503";"*adpf_506";"*adpf_507";"*adpf_518";"*adpf_533";"*adpf_545";"*adpf_546";"*adpf_550";"*adpf_551";"*adpf_558";"*adpf_563";"*adpf_570";"*adpf_571";"*adpf_576";"*adpf_579";"*adpf_592";"*adpf_601";"*adpf_602";"*adpf_603";"*adpf_612";"*adpf_617";"*adpf_621";"*adpf_629";"*adpf_639";"*adpf_645";"*adpf_656";"*adpf_658";"*adpf_669";"*adpf_671";"*adpf_673";"*adpf_678";"*adpf_679";"*adpf_684";"*adpf_685";"*adpf_686";"*adpf_689";"*adpf_693";"*adpf_697";"*adpf_704";"*adpf_705";"*adpf_710";"*adpf_711";"*adpf_712";"*adpf_719";"*adpf_721";"*adpf_724";"*adpf_726";"*adpf_729";"*adpf_730";"*adpf_736";"*adpf_737";"*adpf_752";"*adpf_753";"*adpf_754";"*adpf_755";"*adpf_756";"*adpf_757";"*adpf_773";"*adpf_776";"*adpf_778";"*adpf_780";"*adpf_782";"*adpf_784";"*adpf_786";"*adpf_790";"*adpf_797";"*adpf_799";"*adpf_801";"*adpf_803";"*adpf_805";"*adpf_806";"*adpf_807";"*adpf_813";"*adpf_815";"*adpf_816";"*adpf_830";"*adpf_831";"*adpf_841";"*adpf_843";"*adpf_845";"*adpf_864";"*adpf_869";"*adpf_874";"*adpf_891";"*adpf_894";"*adpf_895";"*adpf_906";"*adpf_908";"*adpf_911";"*adpf_921";"*adpf_922";"*adpf_923";"*adpf_924";"*adpf_930";"*adpf_932";"*adpf_939";"*adpf_940";"*adpf_952";"*adpf_954";"*adpf_958";"*adpf_960";"*adpf_963";"*adpf_978";"*adpf_980";"*adpf_986";"*adpf_993";"*adpf_996";"*adpf_997";"*adpf_998";"*adpf_999"
"isonomia";0;0;0;0;0;0;1;4;0;4;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;2
"interferencia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;5;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"arrastamento";0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"rolex";0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"final";1;1;1;0;1;0;0;1;1;3;0;0;1;0;6;1;1;1;2;0;1;0;1;3;0;2;7;0;0;4;1;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;7;0;0;1;0;3;4;10;1;1;1;0;0;0;0;1;2;0;1;2;2;0;0;1;0;2;2;0;4;1;0;1;2;1;0;7;0;9;0;1;3;1;1;2;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;2;0;3;0;1;2;0;0;1;0;0;1;0;1;0;1;3;2;3;2;0;0;0;0;0;0;0;1;1;0
"protocolar";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"socio";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ignorar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"conjuge";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tratado";0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;2;0;0;10;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
